Tawara Animal Sanctuary income and expenditure,,,,,,,,,,,,,
,Month,January,February,March,April,May,June,July,August,September,October,November,December
Project,,,,,,,,,,,,,
Income,,,,,,,,,,,,,
Project,,,,,,,,,,,,,
Elephant,,3480.38,2061.45,1893.74,4586.43,2159.94,6447.05,6541.33,5889.93,6281.2,8244.76,8249.47,8514.5
Monkey,,754.21,3421.02,1134.94,2565.61,3338.51,4056.3,2089.17,3501.97,1018.73,3604.78,455.33,3126.84
Tiger,,2952.38,1846.3,1487.65,4718.89,5897.85,6828.12,8690.99,1525.76,8812.25,472.59,6400.24,4808.71
,,,,,,,,,,,,,
Project,Expenditure,,,,,,,,,,,,
Elephant,Relocation,2716.18,4118.3,3239.28,2469.32,2973.13,3579.62,3260.53,33.8,2719.38,2096.41,831.69,421.84
,Veterinary,2190.97,913.83,1604.3,3595.88,1753.4,934.38,3886.05,3200.7,3052.32,2874.79,1306.57,1675.18
,Food,2048.94,2815.71,2295.06,2629.31,280.63,1149.43,2479.65,2007.2,4420.34,542.01,365.61,2438.75
,Total,,,,,,,,,,,,
Monkey,Relocation,542.2,629.55,357.86,844.56,681.08,251.3,485.6,866.48,523.59,698.75,685.38,534.26
,Veterinary,381.8,186.53,240.2,327.27,351.5,210.9,284.51,299.61,188.59,309.2,123.29,283.5
,Food,38.87,20.33,39.66,36,18.63,24.15,57.47,17.97,21.86,35.45,7.67,34.32
,Total,,,,,,,,,,,,
Tiger,Relocation,1323.71,2813.99,694.47,3050.36,2387.33,340.58,1893.51,2375.29,2964.81,3778.31,2764.51,4239.04
,Veterinary,1727.69,174.66,4028.66,646.21,3094.14,753.83,3335.82,26.2,1051.52,3373.79,139.1,2872.11
,Food,4319.77,2678.66,803.92,2731.27,3085.12,854.12,1463.75,1310.9,1850.41,1611.76,1603.44,1308.39
,Total,,,,,,,,,,,,
,,,,,,,,,,,,,
Project,Balance,,,,,,,,,,,,
Elephant,,,,,,,,,,,,,
Monkey,,,,,,,,,,,,,
Tiger,,,,,,,,,,,,,
